vendor_name,is_anomaly,anomaly_type,severity,expired_certifications,explanation
MegaScale Hosting 8,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,HIPAA,MegaScale Hosting 8 had a breach within 12 months and has sensitive data access.
NetSafe Solutions 8,true,EXPIRED_CERTIFICATION,MEDIUM,SOC2_TYPE2,NetSafe Solutions 8 has expired certification(s).
OmniCloud Services 8,true,EXPIRED_CERTIFICATION,HIGH,SOC2_TYPE1,OmniCloud Services 8 has expired certification(s) and accesses sensitive data.
PrecisionPay Ltd 8,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,PrecisionPay Ltd 8 had a breach within 12 months and has sensitive data access.
QuantumRisk Analytics 8,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,"PCI_DSS,SOC2_TYPE2",QuantumRisk Analytics 8 had a breach within 12 months and has sensitive data access.
RapidDeploy Systems 8,false,,,,
SecureHarbor Inc 8,false,,,,
TrustFrame Technologies 8,false,,,,
UltraSecure MSS 8,false,,,,
VaultMaster Corp 8,true,EXPIRED_CERTIFICATION,HIGH,SOC2_TYPE1,VaultMaster Corp 8 has expired certification(s) and accesses sensitive data.
WebArmor Ltd 8,false,,,,
XcelData Solutions 8,false,,,,
YieldSecure Analytics 8,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,YieldSecure Analytics 8 had a breach within 12 months and has sensitive data access.
ZenCloud Systems 8,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,ZenCloud Systems 8 had a breach within 12 months and has sensitive data access.
Acme Cloud Storage 9,true,EXPIRED_CERTIFICATION,HIGH,ISO_27001,Acme Cloud Storage 9 has expired certification(s) and accesses sensitive data.
BlueShield Analytics 9,true,EXPIRED_CERTIFICATION,MEDIUM,PCI_DSS,BlueShield Analytics 9 has expired certification(s).
ClearPath Networks 9,true,EXPIRED_CERTIFICATION,MEDIUM,PCI_DSS,ClearPath Networks 9 has expired certification(s).
DataVault Systems 9,false,,,,
EdgeSecure Ltd 9,false,,,,
FortKnox Payments 9,false,,,,
GlobalMesh MSS 9,false,,,,
HealthBridge IT 9,false,,,,
IntelliGuard Software 9,true,EXPIRED_CERTIFICATION,MEDIUM,"PCI_DSS,HIPAA",IntelliGuard Software 9 has expired certification(s).
JetStream Infrastructure 9,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,JetStream Infrastructure 9 had a breach within 12 months and has sensitive data access.
KeyLock Security 9,true,EXPIRED_CERTIFICATION,MEDIUM,HIPAA,KeyLock Security 9 has expired certification(s).
LibertyData Corp 9,false,,,,
MegaScale Hosting 9,false,,,,
NetSafe Solutions 9,false,,,,
OmniCloud Services 9,false,,,,
PrecisionPay Ltd 9,true,EXPIRED_CERTIFICATION,HIGH,PCI_DSS,PrecisionPay Ltd 9 has expired certification(s) and accesses sensitive data.
QuantumRisk Analytics 9,true,EXPIRED_CERTIFICATION,MEDIUM,ISO_27001,QuantumRisk Analytics 9 has expired certification(s).
RapidDeploy Systems 9,true,EXPIRED_CERTIFICATION,HIGH,HIPAA,RapidDeploy Systems 9 has expired certification(s) and accesses sensitive data.
SecureHarbor Inc 9,false,,,,
TrustFrame Technologies 9,false,,,,
UltraSecure MSS 9,true,VENDOR_UNDER_INVESTIGATION,CRITICAL,,UltraSecure MSS 9 is currently under regulatory investigation.
VaultMaster Corp 9,false,,,,
WebArmor Ltd 9,true,RECENTLY_BREACHED_VENDOR,MEDIUM,,WebArmor Ltd 9 had a security breach within the last 12 months.
XcelData Solutions 9,false,,,,
YieldSecure Analytics 9,false,,,,
ZenCloud Systems 9,false,,,,
Acme Cloud Storage 10,false,,,,
BlueShield Analytics 10,true,EXPIRED_CERTIFICATION,HIGH,HIPAA,BlueShield Analytics 10 has expired certification(s) and accesses sensitive data.
ClearPath Networks 10,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,HIPAA,ClearPath Networks 10 had a breach within 12 months and has sensitive data access.
DataVault Systems 10,false,,,,
EdgeSecure Ltd 10,false,,,,
FortKnox Payments 10,false,,,,
GlobalMesh MSS 10,false,,,,
HealthBridge IT 10,true,EXPIRED_CERTIFICATION,HIGH,SOC2_TYPE2,HealthBridge IT 10 has expired certification(s) and accesses sensitive data.
IntelliGuard Software 10,false,,,,
JetStream Infrastructure 10,false,,,,
KeyLock Security 10,false,,,,
LibertyData Corp 10,false,,,,
MegaScale Hosting 10,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,MegaScale Hosting 10 had a breach within 12 months and has sensitive data access.
NetSafe Solutions 10,false,,,,
OmniCloud Services 10,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,"SOC2_TYPE1,PCI_DSS",OmniCloud Services 10 had a breach within 12 months and has sensitive data access.
PrecisionPay Ltd 10,true,EXPIRED_CERTIFICATION,HIGH,HIPAA,PrecisionPay Ltd 10 has expired certification(s) and accesses sensitive data.
QuantumRisk Analytics 10,false,,,,
RapidDeploy Systems 10,false,,,,
SecureHarbor Inc 10,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,SecureHarbor Inc 10 had a breach within 12 months and has sensitive data access.
TrustFrame Technologies 10,false,,,,
UltraSecure MSS 10,true,RECENTLY_BREACHED_VENDOR,MEDIUM,,UltraSecure MSS 10 had a security breach within the last 12 months.
VaultMaster Corp 10,false,,,,
WebArmor Ltd 10,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,WebArmor Ltd 10 had a breach within 12 months and has sensitive data access.
XcelData Solutions 10,true,EXPIRED_CERTIFICATION,MEDIUM,PCI_DSS,XcelData Solutions 10 has expired certification(s).
YieldSecure Analytics 10,false,,,,
ZenCloud Systems 10,true,EXPIRED_CERTIFICATION,MEDIUM,"HIPAA,PCI_DSS",ZenCloud Systems 10 has expired certification(s).
Acme Cloud Storage 11,false,,,,
BlueShield Analytics 11,false,,,,
ClearPath Networks 11,false,,,,
DataVault Systems 11,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,DataVault Systems 11 had a breach within 12 months and has sensitive data access.
EdgeSecure Ltd 11,true,EXPIRED_CERTIFICATION,HIGH,SOC2_TYPE1,EdgeSecure Ltd 11 has expired certification(s) and accesses sensitive data.
FortKnox Payments 11,false,,,,
GlobalMesh MSS 11,false,,,,
HealthBridge IT 11,false,,,,
IntelliGuard Software 11,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,IntelliGuard Software 11 had a breach within 12 months and has sensitive data access.
JetStream Infrastructure 11,false,,,,
KeyLock Security 11,false,,,,
LibertyData Corp 11,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,HIPAA,LibertyData Corp 11 had a breach within 12 months and has sensitive data access.
MegaScale Hosting 11,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,MegaScale Hosting 11 had a breach within 12 months and has sensitive data access.
NetSafe Solutions 11,false,,,,
OmniCloud Services 11,true,EXPIRED_CERTIFICATION,HIGH,SOC2_TYPE1,OmniCloud Services 11 has expired certification(s) and accesses sensitive data.
PrecisionPay Ltd 11,false,,,,
QuantumRisk Analytics 11,true,EXPIRED_CERTIFICATION,HIGH,"HIPAA,SOC2_TYPE2",QuantumRisk Analytics 11 has expired certification(s) and accesses sensitive data.
RapidDeploy Systems 11,false,,,,
SecureHarbor Inc 11,false,,,,
TrustFrame Technologies 11,false,,,,
UltraSecure MSS 11,false,,,,
VaultMaster Corp 11,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,VaultMaster Corp 11 had a breach within 12 months and has sensitive data access.
WebArmor Ltd 11,true,EXPIRED_CERTIFICATION,MEDIUM,PCI_DSS,WebArmor Ltd 11 has expired certification(s).
XcelData Solutions 11,false,,,,
YieldSecure Analytics 11,true,EXPIRED_CERTIFICATION,MEDIUM,PCI_DSS,YieldSecure Analytics 11 has expired certification(s).
ZenCloud Systems 11,true,VENDOR_UNDER_INVESTIGATION,CRITICAL,,ZenCloud Systems 11 is currently under regulatory investigation.
Acme Cloud Storage 12,false,,,,
BlueShield Analytics 12,false,,,,
ClearPath Networks 12,true,EXPIRED_CERTIFICATION,MEDIUM,"HIPAA,SOC2_TYPE1",ClearPath Networks 12 has expired certification(s).
DataVault Systems 12,false,,,,
EdgeSecure Ltd 12,true,RECENTLY_BREACHED_VENDOR,MEDIUM,SOC2_TYPE1,EdgeSecure Ltd 12 had a security breach within the last 12 months.
FortKnox Payments 12,false,,,,
GlobalMesh MSS 12,true,EXPIRED_CERTIFICATION,MEDIUM,SOC2_TYPE1,GlobalMesh MSS 12 has expired certification(s).
HealthBridge IT 12,false,,,,
IntelliGuard Software 12,true,BREACHED_VENDOR_HIGH_ACCESS,CRITICAL,,IntelliGuard Software 12 had a breach within 12 months and has sensitive data access.
JetStream Infrastructure 12,true,RECENTLY_BREACHED_VENDOR,MEDIUM,SOC2_TYPE2,JetStream Infrastructure 12 had a security breach within the last 12 months.
KeyLock Security 12,true,EXPIRED_CERTIFICATION,HIGH,PCI_DSS,KeyLock Security 12 has expired certification(s) and accesses sensitive data.
LibertyData Corp 12,false,,,,
MegaScale Hosting 12,true,EXPIRED_CERTIFICATION,HIGH,PCI_DSS,MegaScale Hosting 12 has expired certification(s) and accesses sensitive data.
NetSafe Solutions 12,false,,,,
OmniCloud Services 12,false,,,,
PrecisionPay Ltd 12,true,EXPIRED_CERTIFICATION,MEDIUM,HIPAA,PrecisionPay Ltd 12 has expired certification(s).
QuantumRisk Analytics 12,true,EXPIRED_CERTIFICATION,MEDIUM,HIPAA,QuantumRisk Analytics 12 has expired certification(s).
RapidDeploy Systems 12,true,RECENTLY_BREACHED_VENDOR,MEDIUM,,RapidDeploy Systems 12 had a security breach within the last 12 months.
SecureHarbor Inc 12,false,,,,
TrustFrame Technologies 12,true,EXPIRED_CERTIFICATION,MEDIUM,ISO_27001,TrustFrame Technologies 12 has expired certification(s).
UltraSecure MSS 12,false,,,,
VaultMaster Corp 12,false,,,,
WebArmor Ltd 12,false,,,,
XcelData Solutions 12,false,,,,
YieldSecure Analytics 12,false,,,,
ZenCloud Systems 12,true,EXPIRED_CERTIFICATION,HIGH,SOC2_TYPE2,ZenCloud Systems 12 has expired certification(s) and accesses sensitive data.
Acme Cloud Storage 13,true,EXPIRED_CERTIFICATION,HIGH,HIPAA,Acme Cloud Storage 13 has expired certification(s) and accesses sensitive data.
BlueShield Analytics 13,false,,,,
ClearPath Networks 13,true,EXPIRED_CERTIFICATION,HIGH,"SOC2_TYPE2,ISO_27001",ClearPath Networks 13 has expired certification(s) and accesses sensitive data.
DataVault Systems 13,false,,,,
EdgeSecure Ltd 13,false,,,,
